date;num_contributions
24-Jun;14
25-Jun;4
26-Jun;8
27-Jun;6
28-Jun;5
29-Jun;5
30-Jun;3
01-Jul;6
02-Jul;14
03-Jul;4
04-Jul;2
05-Jul;4
06-Jul;2
07-Jul;2
08-Jul;3
09-Jul;2
10-Jul;11
11-Jul;6
12-Jul;12
13-Jul;5
14-Jul;3
15-Jul;1
16-Jul;4
17-Jul;7
18-Jul;7
19-Jul;5
20-Jul;5
21-Jul;6
22-Jul;8
23-Jul;1
24-Jul;4
25-Jul;6
26-Jul;1
27-Jul;5
28-Jul;1
29-Jul;1
30-Jul;5
31-Jul;5
01-Aug;2
02-Aug;5
03-Aug;1
04-Aug;3
05-Aug;2
06-Aug;3
07-Aug;4
08-Aug;2
09-Aug;3
10-Aug;4
11-Aug;4
12-Aug;1
13-Aug;2
14-Aug;2
15-Aug;11
16-Aug;2
17-Aug;3
18-Aug;1
19-Aug;5
20-Aug;1
21-Aug;6
22-Aug;8
23-Aug;4
24-Aug;1
25-Aug;1
26-Aug;1
27-Aug;12
28-Aug;8
29-Aug;6
30-Aug;1
31-Aug;2
01-Sep;6
02-Sep;11
03-Sep;10
04-Sep;1
05-Sep;8
06-Sep;3
07-Sep;1
08-Sep;7
09-Sep;8
10-Sep;8
11-Sep;9
12-Sep;4
13-Sep;1
